"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"302450154","2010","1","regular","2010-09-02T22:30:00.000Z","false","true","false","false","0","3630","BB&T Field","154","Wake Forest","ACC","fbs","53","21","14","2","16","0.8574969410677336","","","2506","Presbyterian College","Big South","fcs","13","0","7","6","0","0.14250305893226645","","","","",""
"302452050","2010","1","regular","2010-09-02T23:00:00.000Z","","true","false","false","0","3919","Scheumann Stadium","2050","Ball State","Mid-American","fbs","27","7","0","17","3","0.624190810354041","","","2546","Southeast Missouri State","OVC","fcs","10","7","0","0","3","0.375809189645959","","","","",""
"302452084","2010","1","regular","2010-09-02T23:00:00.000Z","false","true","false","false","0","3965","UB Stadium","2084","Buffalo","Mid-American","fbs","31","3","21","7","0","0.9936480813643677","","","227","Rhode Island","CAA","fcs","0","0","0","0","0","0.0063519186356323365","","","","",""
"302452117","2010","1","regular","2010-09-02T23:00:00.000Z","false","true","false","false","0","3786","Kelly/Shorts Stadium","2117","Central Michigan","Mid-American","fbs","33","16","7","3","7","0.9982822102533788","","","2261","Hampton","MEAC","fcs","0","0","0","0","0","0.001717789746621179","","","","",""
"302452309","2010","1","regular","2010-09-02T23:00:00.000Z","","true","false","false","0","3696","Dix Stadium","2309","Kent State","Mid-American","fbs","41","17","7","10","7","","","","93","Murray State","OVC","fcs","10","7","3","0","0","","","","","",""
"302452390","2010","1","regular","2010-09-02T23:30:00.000Z","false","true","false","false","0","3948","Hard Rock Stadium","2390","Miami","ACC","fbs","45","14","21","7","3","0.990159306826044","","","50","Florida A&M","MEAC","fcs","0","0","0","0","0","0.009840693173955972","","","","",""
"302450084","2010","1","regular","2010-09-02T23:30:00.000Z","false","true","false","false","0","3830","Memorial Stadium","84","Indiana","Big Ten","fbs","51","17","21","10","3","0.9828993869472783","","","119","Towson","CAA","fcs","17","0","14","0","3","0.017100613052721703","","","","",""
"302450164","2010","1","regular","2010-09-02T23:30:00.000Z","false","true","true","false","0","3754","High Point Solutions Stadium","164","Rutgers","Big East","fbs","31","3","3","15","10","0.9888514663226565","","","2450","Norfolk State","MEAC","fcs","0","0","0","0","0","0.011148533677343475","","","","",""
"302450194","2010","1","regular","2010-09-02T23:30:00.000Z","","true","false","false","0","3861","Ohio Stadium","194","Ohio State","Big Ten","fbs","45","21","14","7","3","0.9987934239294318","1808","1861","276","Marshall","Conference USA","fbs","7","7","0","0","0","0.0012065760705681772","1365","1312","","",""
"302452579","2010","1","regular","2010-09-02T23:30:00.000Z","","true","false","false","0","3994","Williams-Brice Stadium","2579","South Carolina","SEC","fbs","41","7","17","10","7","0.9278608858746394","1565","1634","2572","Southern Mississippi","Conference USA","fbs","13","3","3","0","7","0.07213911412536056","1533","1464","","",""
