"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"322432309","2012","1","regular","2012-08-30T23:00:00.000Z","","true","false","false","15121","3696","Dix Stadium","2309","Kent State","Mid-American","fbs","41","17","10","7","7","0.35542781007372926","","","119","Towson","CAA","fcs","21","0","7","0","14","0.6445721899262707","","","1.55902925020132","",""
"322432006","2012","1","regular","2012-08-30T23:00:00.000Z","","true","false","false","12616","3768","Summa Field at InfoCision Stadium","2006","Akron","Mid-American","fbs","14","0","0","7","7","0.20378637134909341","997","945","2116","UCF","Conference USA","fbs","56","7","28","14","7","0.7962136286509066","1559","1611","2.01013241916277","",""
"322430238","2012","1","regular","2012-08-30T23:00:00.000Z","","true","false","true","38393","3973","Vanderbilt Stadium","238","Vanderbilt","SEC","fbs","13","0","10","3","0","0.4810050216379631","1573","1577","2579","South Carolina","SEC","fbs","17","7","3","0","7","0.5189949783620369","1743","1739","6.67378264793589","",""
"322432117","2012","1","regular","2012-08-30T23:00:00.000Z","false","true","false","false","15250","3786","Kelly/Shorts Stadium","2117","Central Michigan","Mid-American","fbs","38","10","14","7","7","0.6303081261505843","","","2546","Southeast Missouri State","OVC","fcs","27","10","14","3","0","0.3696918738494157","","","10.8367261661988","",""
"322432050","2012","1","regular","2012-08-30T23:00:00.000Z","","true","false","true","12725","3919","Scheumann Stadium","2050","Ball State","Mid-American","fbs","37","10","3","21","3","0.9799201263687518","1299","1314","2199","Eastern Michigan","Mid-American","fbs","26","0","13","0","13","0.02007987363124819","1231","1216","3.50953102835795","",""
"322430254","2012","1","regular","2012-08-30T23:15:00.000Z","","true","false","false","45273","587","Rice-Eccles Stadium","254","Utah","Pac-12","fbs","41","0","21","7","13","0.9999962695872247","","","2458","Northern Colorado","Big Sky","fcs","0","0","0","0","0","0.0000037304127753490235","","","2.50471557930262","",""
"322432393","2012","1","regular","2012-08-30T23:30:00.000Z","false","true","false","false","18690","3725","Johnny Red"""" Floyd Stadium""""","2393","Middle Tennessee","Sun Belt","fbs","21","3","3","0","15","0.6103987323014604","","","2377","McNeese","Southland","fcs","27","0","14","10","3","0.38960126769853964","","","3.58080754685912","",""
"322430041","2012","1","regular","2012-08-30T23:30:00.000Z","","true","false","false","35270","3892","Rentschler Field","41","Connecticut","Big East","fbs","37","7","13","7","10","0.9999953693350744","1504","1599","113","UMass","Mid-American","fbs","0","0","0","0","0","0.000004630664925620032","1424","1329","2.11834397920154","",""
"322430242","2012","1","regular","2012-08-30T23:30:00.000Z","","true","false","false","23105","3895","Rice Stadium","242","Rice","Conference USA","fbs","24","10","14","0","0","0.6386872229398914","1285","1233","26","UCLA","Pac-12","fbs","49","19","16","0","14","0.36131277706010856","1412","1464","4.23928279839615","",""
"322430328","2012","1","regular","2012-08-31T00:00:00.000Z","","true","false","false","17009","3905","Romney Stadium","328","Utah State","Western Athletic","fbs","34","21","0","7","6","","","","253","Southern Utah","Big Sky","fcs","3","0","3","0","0","","","","","",""
