"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"52663","1984","1","regular","1984-08-27T00:00:00.000Z","","true","false","","","","","2390","Miami","FBS Independents","fbs","20","","","1785","1785","2","Auburn","SEC","fbs","18","","","1744","1744","","",""
"53322","1984","1","postseason","1984-12-15T00:00:00.000Z","","true","true","","","","","2439","UNLV","PCAA","fbs","30","","","1595","1628","2649","Toledo","Mid-American","fbs","13","","","1478","1445","","",""
"53321","1984","1","postseason","1984-12-15T00:00:00.000Z","","true","true","","","","","2005","Air Force","Western Athletic","fbs","23","","","1674","1721","259","Virginia Tech","FBS Independents","fbs","7","","","1725","1678","","",""
"53323","1984","1","postseason","1984-12-21T00:00:00.000Z","","true","true","","","","","252","BYU","Western Athletic","fbs","24","","","2010","2003","130","Michigan","Big Ten","fbs","17","","","1659","1666","","",""
"53325","1984","1","postseason","1984-12-22T00:00:00.000Z","","true","true","","","","","61","Georgia","SEC","fbs","17","","","1716","1716","52","Florida State","FBS Independents","fbs","17","","","1862","1862","","",""
"53324","1984","1","postseason","1984-12-22T00:00:00.000Z","","true","true","","","","","349","Army","FBS Independents","fbs","10","","","1390","1402","127","Michigan State","Big Ten","fbs","6","","","1455","1443","","",""
"53326","1984","1","postseason","1984-12-22T00:00:00.000Z","","true","true","","","","","120","Maryland","ACC","fbs","28","","","1807","1807","2633","Tennessee","SEC","fbs","27","","","1737","1737","","",""
"53327","1984","1","postseason","1984-12-26T00:00:00.000Z","","true","true","","","","","2294","Iowa","Big Ten","fbs","55","","","1772","1873","251","Texas","Southwest","fbs","17","","","1647","1546","","",""
"53328","1984","1","postseason","1984-12-27T00:00:00.000Z","","true","true","","","","","2","Auburn","SEC","fbs","21","","","1879","1883","8","Arkansas","Southwest","fbs","15","","","1741","1737","","",""
"53329","1984","1","postseason","1984-12-28T00:00:00.000Z","","true","true","","","","","197","Oklahoma State","Big 8","fbs","21","","","1849","1855","2579","South Carolina","FBS Independents","fbs","14","","","1705","1699","","",""
"53331","1984","1","postseason","1984-12-29T00:00:00.000Z","","true","true","","","","","2567","SMU","Southwest","fbs","27","","","1763","1783","87","Notre Dame","FBS Independents","fbs","20","","","1818","1798","","",""
"53330","1984","1","postseason","1984-12-29T00:00:00.000Z","","true","true","","","","","96","Kentucky","SEC","fbs","20","","","1625","1627","275","Wisconsin","Big Ten","fbs","19","","","1620","1618","","",""
"53332","1984","1","postseason","1984-12-31T00:00:00.000Z","","true","true","","","","","258","Virginia","ACC","fbs","27","","","1664","1661","2509","Purdue","Big Ten","fbs","24","","","1454","1457","","",""
"53333","1984","1","postseason","1984-12-31T00:00:00.000Z","","true","true","","","","","277","West Virginia","FBS Independents","fbs","31","","","1681","1716","2628","TCU","Southwest","fbs","14","","","1585","1550","","",""
