"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"62385","1999","1","regular","1999-08-28T00:00:00.000Z","","true","false","","","","","213","Penn State","Big Ten","fbs","41","","","1709","1813","12","Arizona","Pac-10","fbs","7","","","1774","1670","","",""
"62382","1999","1","regular","1999-08-28T00:00:00.000Z","","true","false","","","","","52","Florida State","ACC","fbs","41","","","1907","1960","2348","Louisiana Tech","FBS Independents","fbs","7","","","1572","1519","","",""
"62383","1999","1","regular","1999-08-28T00:00:00.000Z","","true","false","","","","","251","Texas","Big 12","fbs","20","","","1688","1674","152","NC State","ACC","fbs","23","","","1539","1553","","",""
"62384","1999","1","regular","1999-08-28T00:00:00.000Z","","true","false","","","","","87","Notre Dame","FBS Independents","fbs","48","","","1659","1726","2305","Kansas","Big 12","fbs","13","","","1416","1349","","",""
"62386","1999","1","regular","1999-08-29T00:00:00.000Z","","true","false","","","","","2390","Miami","Big East","fbs","23","","","1631","1672","194","Ohio State","Big Ten","fbs","12","","","1894","1853","","",""
"63040","1999","1","postseason","1999-12-03T00:00:00.000Z","","true","true","true","","","","276","Marshall","Mid-American","fbs","34","","","1951","1936","2711","Western Michigan","Mid-American","fbs","30","","","1467","1482","","",""
"63044","1999","1","postseason","1999-12-04T00:00:00.000Z","","true","true","true","","","","158","Nebraska","Big 12","fbs","22","","","2145","2168","251","Texas","Big 12","fbs","6","","","1952","1929","","",""
"63041","1999","1","postseason","1999-12-04T00:00:00.000Z","","true","true","true","","","","333","Alabama","SEC","fbs","34","","","1737","1842","57","Florida","SEC","fbs","7","","","1938","1833","","",""
"63045","1999","1","postseason","1999-12-18T00:00:00.000Z","","true","true","","","","","254","Utah","Mountain West","fbs","17","","","1756","1756","278","Fresno State","Western Athletic","fbs","16","","","1669","1669","","",""
"63046","1999","1","postseason","1999-12-22T00:00:00.000Z","","true","true","","","","","2628","TCU","Western Athletic","fbs","28","","","1631","1667","151","East Carolina","Conference USA","fbs","14","","","1630","1594","","",""
"63047","1999","1","postseason","1999-12-25T00:00:00.000Z","","true","true","","","","","62","Hawai'i","Western Athletic","fbs","23","","","1314","1355","204","Oregon State","Pac-10","fbs","17","","","1700","1659","","",""
"63048","1999","1","postseason","1999-12-25T00:00:00.000Z","","true","true","","","","","154","Wake Forest","ACC","fbs","23","","","1536","1595","9","Arizona State","Pac-10","fbs","3","","","1577","1518","","",""
"63049","1999","1","postseason","1999-12-27T00:00:00.000Z","","true","true","","","","","276","Marshall","Mid-American","fbs","21","","","1936","1959","252","BYU","Mountain West","fbs","3","","","1678","1655","","",""
"63050","1999","1","postseason","1999-12-28T00:00:00.000Z","","true","true","","","","","213","Penn State","Big Ten","fbs","24","","","1881","1934","245","Texas A&M","Big 12","fbs","0","","","1747","1694","","",""
"63051","1999","1","postseason","1999-12-29T00:00:00.000Z","","true","true","","","","","2306","Kansas State","Big 12","fbs","24","","","2127","2112","264","Washington","Pac-10","fbs","20","","","1644","1659","","",""
"63052","1999","1","postseason","1999-12-29T00:00:00.000Z","","true","true","","","","","183","Syracuse","Big East","fbs","20","","","1614","1626","96","Kentucky","SEC","fbs","13","","","1558","1546","","",""
"63053","1999","1","postseason","1999-12-30T00:00:00.000Z","","true","true","","","","","68","Boise State","Big West","fbs","34","","","1583","1588","97","Louisville","Conference USA","fbs","31","","","1567","1562","","",""
"63054","1999","1","postseason","1999-12-30T00:00:00.000Z","","true","true","","","","","356","Illinois","Big Ten","fbs","63","","","1620","1755","258","Virginia","ACC","fbs","21","","","1630","1495","","",""
"63055","1999","1","postseason","1999-12-30T00:00:00.000Z","","true","true","","","","","344","Mississippi State","SEC","fbs","17","","","1693","1718","228","Clemson","ACC","fbs","7","","","1707","1682","","",""
"63058","1999","1","postseason","1999-12-31T00:00:00.000Z","","true","true","","","","","2483","Oregon","Pac-10","fbs","24","","","1867","1869","135","Minnesota","Big Ten","fbs","20","","","1740","1738","","",""
"63057","1999","1","postseason","1999-12-31T00:00:00.000Z","","true","true","","","","","145","Ole Miss","SEC","fbs","27","","","1705","1714","201","Oklahoma","Big 12","fbs","25","","","1847","1838","","",""
"63056","1999","1","postseason","1999-12-31T00:00:00.000Z","","true","true","","","","","38","Colorado","Big 12","fbs","62","","","1700","1780","103","Boston College","Big East","fbs","28","","","1523","1443","","",""
"63059","1999","1","postseason","1999-12-31T00:00:00.000Z","","true","true","","","","","2572","Southern Mississippi","Conference USA","fbs","23","","","1771","1777","36","Colorado State","Mountain West","fbs","17","","","1653","1647","","",""
"63063","1999","1","postseason","2000-01-01T00:00:00.000Z","","true","true","","","","","130","Michigan","Big Ten","fbs","35","","","1878","1879","333","Alabama","SEC","fbs","34","","","1842","1841","","",""
"63062","1999","1","postseason","2000-01-01T00:00:00.000Z","","true","true","","","","","2390","Miami","Big East","fbs","28","","","1926","1951","59","Georgia Tech","ACC","fbs","13","","","1779","1754","","",""
