"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"55918","1989","1","regular","1989-08-31T00:00:00.000Z","","true","false","","","","","87","Notre Dame","FBS Independents","fbs","36","","","1873","1890","258","Virginia","ACC","fbs","13","","","1488","1471","","",""
"55940","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","2572","Southern Mississippi","FBS Independents","fbs","30","","","1561","1577","52","Florida State","FBS Independents","fbs","26","","","1966","1950","","",""
"55943","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","2649","Toledo","Mid-American","fbs","27","","","1437","1440","195","Ohio","Mid-American","fbs","18","","","1254","1251","","",""
"55945","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","259","Virginia Tech","FBS Independents","fbs","29","","","1457","1518","2006","Akron","FBS Independents","fbs","3","","","1407","1346","","",""
"55929","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","309","Louisiana","FBS Independents","fbs","14","","","1471","1379","2348","Louisiana Tech","FBS Independents","fbs","40","","","1304","1396","","",""
"55923","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","2199","Eastern Michigan","Mid-American","fbs","30","","","1447","1499","2309","Kent State","Mid-American","fbs","7","","","1405","1353","","",""
"55925","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","62","Hawai'i","Western Athletic","fbs","31","","","1587","1584","2655","Tulane","FBS Independents","fbs","26","","","1376","1379","","",""
"55927","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2305","Kansas","Big 8","fbs","41","","","","","147","Montana State","","","17","","","","","","",""
"55926","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2439","UNLV","Big West","fbs","0","","","1225","1089","248","Houston","Southwest","fbs","69","","","1814","1950","","",""
"55924","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","278","Fresno State","Big West","fbs","52","","","1618","1688","254","Utah","Western Athletic","fbs","22","","","1535","1465","","",""
"55948","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2711","Western Michigan","Mid-American","fbs","31","","","1495","1499","218","Temple","FBS Independents","fbs","24","","","1401","1397","","",""
"55947","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","277","West Virginia","FBS Independents","fbs","35","","","1809","1842","2050","Ball State","Mid-American","fbs","10","","","1537","1504","","",""
"55919","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","2005","Air Force","Western Athletic","fbs","52","","","1557","1566","21","San Diego State","Western Athletic","fbs","36","","","1275","1266","","",""
"55946","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","265","Washington State","Pac-10","fbs","41","","","","","70","Idaho","Big Sky","fcs","7","","","","","","",""
"55944","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2638","UTEP","Western Athletic","fbs","14","","","1551","1517","202","Tulsa","FBS Independents","fbs","23","","","1377","1411","","",""
"55942","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","245","Texas A&M","Southwest","fbs","28","","","1644","1669","99","LSU","SEC","fbs","16","","","1676","1651","","",""
"55920","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","12","Arizona","Pac-10","fbs","19","","","1661","1692","24","Stanford","Pac-10","fbs","3","","","1622","1591","","",""
"55941","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2633","Tennessee","SEC","fbs","17","","","1537","1535","36","Colorado State","Western Athletic","fbs","14","","","1272","1274","","",""
"55939","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2579","South Carolina","FBS Independents","fbs","27","","","1493","1498","150","Duke","ACC","fbs","21","","","1454","1449","","",""
"55936","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","221","Pittsburgh","FBS Independents","fbs","38","","","1662","1709","1000044","Pacific","Big West","fbs","3","","","1252","1205","","",""
"55921","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","167","New Mexico","Western Athletic","fbs","3","","","1039","1044","252","BYU","Western Athletic","fbs","24","","","1615","1610","","",""
"55932","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","344","Mississippi State","SEC","fbs","42","","","1351","1461","238","Vanderbilt","SEC","fbs","7","","","1435","1325","","",""
"55937","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","2567","SMU","Southwest","fbs","6","","","1495","1386","242","Rice","Southwest","fbs","35","","","1289","1398","","",""
"55938","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","164","Rutgers","FBS Independents","fbs","17","","","1517","1502","2132","Cincinnati","FBS Independents","fbs","17","","","1180","1195","","",""
"55922","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","228","Clemson","ACC","fbs","30","","","","","231","Furman","","","0","","","","","","",""
"55933","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","true","","","","152","NC State","ACC","fbs","10","","","1585","1584","120","Maryland","ACC","fbs","6","","","1448","1449","","",""
"55935","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","201","Oklahoma","Big 8","fbs","73","","","1795","1916","166","New Mexico State","Big West","fbs","3","","","1094","973","","",""
"55934","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2459","Northern Illinois","FBS Independents","fbs","26","","","1363","1385","1000012","Cal State Fullerton","Big West","fbs","17","","","1472","1450","","",""
"55931","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","235","Memphis","FBS Independents","fbs","13","","","1513","1501","145","Ole Miss","SEC","fbs","20","","","1525","1537","","",""
"55930","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","2751","Wyoming","Western Athletic","fbs","21","","","1663","1628","97","Louisville","FBS Independents","fbs","28","","","1407","1442","","",""
"55928","1989","1","regular","1989-09-02T00:00:00.000Z","","true","false","","","","","1000006","Long Beach State","Big West","fbs","28","","","","","1000887","Cal State Northridge","","","9","","","","","","",""
"55950","1989","1","regular","1989-09-04T00:00:00.000Z","","true","false","","","","","30","USC","Pac-10","fbs","13","","","1831","1811","356","Illinois","Big Ten","fbs","14","","","1485","1505","","",""
"55949","1989","1","regular","1989-09-04T00:00:00.000Z","","true","false","","","","","38","Colorado","Big 8","fbs","27","","","1685","1713","251","Texas","Southwest","fbs","6","","","1471","1443","","",""
"56531","1989","1","postseason","1989-12-09T00:00:00.000Z","","true","true","","","","","278","Fresno State","Big West","fbs","27","","","1593","1645","2050","Ball State","Mid-American","fbs","6","","","1539","1487","","",""
"56533","1989","1","postseason","1989-12-16T00:00:00.000Z","","true","true","","","","","2483","Oregon","Pac-10","fbs","27","","","1744","1739","202","Tulsa","FBS Independents","fbs","24","","","1479","1484","","",""
"56534","1989","1","postseason","1989-12-25T00:00:00.000Z","","true","true","","","","","62","Hawai'i","Western Athletic","fbs","13","","","1825","1791","127","Michigan State","Big Ten","fbs","33","","","1910","1944","","",""
"56536","1989","1","postseason","1989-12-28T00:00:00.000Z","","true","true","","","","","2641","Texas Tech","Southwest","fbs","49","","","1633","1714","150","Duke","ACC","fbs","21","","","1622","1541","","",""
"56535","1989","1","postseason","1989-12-28T00:00:00.000Z","","true","true","","","","","145","Ole Miss","SEC","fbs","42","","","1511","1560","2005","Air Force","Western Athletic","fbs","29","","","1681","1632","","",""
"56537","1989","1","postseason","1989-12-29T00:00:00.000Z","","true","true","","","","","213","Penn State","FBS Independents","fbs","50","","","1765","1788","252","BYU","Western Athletic","fbs","39","","","1723","1700","","",""
"56541","1989","1","postseason","1989-12-30T00:00:00.000Z","","true","true","","","","","264","Washington","Pac-10","fbs","34","","","1744","1821","57","Florida","SEC","fbs","7","","","1728","1651","","",""
"56538","1989","1","postseason","1989-12-30T00:00:00.000Z","","true","true","","","","","228","Clemson","ACC","fbs","27","","","1944","1990","277","West Virginia","FBS Independents","fbs","7","","","1866","1820","","",""
"56539","1989","1","postseason","1989-12-30T00:00:00.000Z","","true","true","","","","","221","Pittsburgh","FBS Independents","fbs","31","","","1667","1682","245","Texas A&M","Southwest","fbs","28","","","1857","1842","","",""
