"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"332412579","2013","1","regular","2013-08-29T22:00:00.000Z","","true","false","false","81572","3994","Williams-Brice Stadium","2579","South Carolina","SEC","fbs","27","17","3","7","0","0.6555861551331129","1759","1785","153","North Carolina","ACC","fbs","10","0","7","3","0","0.3444138448668871","1638","1612","4.25890580578514","",""
"332412309","2013","1","regular","2013-08-29T22:00:00.000Z","false","true","false","false","20790","3696","Dix Stadium","2309","Kent State","Mid-American","fbs","17","7","0","0","10","0.39615746094100784","1530","1536","2335","Liberty","Big South","fcs","10","0","3","7","0","0.6038425390589921","1467","1461","4.92354496667758","",""
"332410154","2013","1","regular","2013-08-29T22:30:00.000Z","false","true","false","false","26202","3630","BB&T Field","154","Wake Forest","ACC","fbs","31","3","14","7","7","0.9997890971350881","","","2506","Presbyterian College","Big South","fcs","7","7","0","0","0","0.00021090286491187715","","","4.07002718054182","",""
"332410135","2013","1","regular","2013-08-29T23:00:00.000Z","","true","false","false","44217","3953","TCF Bank Stadium","135","Minnesota","Big Ten","fbs","51","3","13","14","21","0.44832158545306755","1417","1466","2439","UNLV","Mountain West","fbs","23","6","7","3","7","0.5516784145469324","1207","1158","5.59899597331986","",""
"332412050","2013","1","regular","2013-08-29T23:00:00.000Z","false","true","false","false","16327","3919","Scheumann Stadium","2050","Ball State","Mid-American","fbs","51","9","7","21","14","0.913624850459138","","","2287","Illinois State","MVFC","fcs","28","14","7","0","7","0.086375149540862","","","6.11620212911698","",""
"332412116","2013","1","regular","2013-08-29T23:00:00.000Z","","true","false","false","35115","3652","Bright House Networks Stadium","2116","UCF","American Athletic","fbs","38","14","10","14","0","0.9950796210798765","1656","1681","2006","Akron","Mid-American","fbs","7","0","0","0","7","0.004920378920123536","1144","1119","4.05537719006069","",""
"332410189","2013","1","regular","2013-08-29T23:00:00.000Z","","true","false","false","18142","3700","Doyt Perry Stadium","189","Bowling Green","Mid-American","fbs","34","3","3","7","21","0.6485347639292574","1450","1543","202","Tulsa","Conference USA","fbs","7","0","0","0","7","0.35146523607074265","1635","1542","5.35231614515028","",""
"332410084","2013","1","regular","2013-08-29T23:00:00.000Z","false","true","false","false","40278","3830","Memorial Stadium","84","Indiana","Big Ten","fbs","73","21","24","21","7","0.9998105465210841","","","282","Indiana State","MVFC","fcs","35","7","14","7","7","0.0001894534789158575","","","2.04674235606456","",""
"332412393","2013","1","regular","2013-08-29T23:30:00.000Z","false","true","false","false","20011","3725","Johnny Red"""" Floyd Stadium""""","2393","Middle Tennessee","Conference USA","fbs","45","21","10","7","7","0.8618853071388419","","","2717","Western Carolina","Southern","fcs","24","0","18","0","6","0.13811469286115807","","","2.08241588345359","",""
"332410006","2013","1","regular","2013-08-29T23:30:00.000Z","false","true","true","false","15240","3797","Ladd Peebles Stadium","6","South Alabama","Sun Belt","fbs","21","0","7","7","7","0.2885044612495392","","","253","Southern Utah","Big Sky","fcs","22","10","0","3","9","0.7114955387504608","","","6.48900149414574","",""
"332410041","2013","1","regular","2013-08-29T23:30:00.000Z","false","true","false","false","30689","3892","Rentschler Field","41","Connecticut","American Athletic","fbs","18","7","3","0","8","0.5387236449789601","","","119","Towson","CAA","fcs","33","7","6","6","14","0.4612763550210399","","","5.27072972833886","",""
"332412655","2013","1","regular","2013-08-30T00:00:00.000Z","","true","false","false","20992","3493","Mercedes-Benz Superdome","2655","Tulane","Conference USA","fbs","34","13","7","7","7","0.8713555749271374","","","2296","Jackson State","SWAC","fcs","7","0","0","0","7","0.12864442507286256","","","2.8003531522009","",""
"332410254","2013","1","regular","2013-08-30T00:00:00.000Z","","true","false","false","45237","587","Rice-Eccles Stadium","254","Utah","Pac-12","fbs","30","14","0","10","6","0.637053541562427","1509","1517","328","Utah State","Mountain West","fbs","26","3","14","6","3","0.362946458437573","1667","1659","7.01335958534234","",""
"332410238","2013","1","regular","2013-08-30T01:15:00.000Z","","true","false","true","40350","3973","Vanderbilt Stadium","238","Vanderbilt","SEC","fbs","35","0","21","7","7","0.5647646976372864","1655","1644","145","Ole Miss","SEC","fbs","39","10","0","15","14","0.43523530236271357","1593","1604","7.58282409419706","",""
"332410023","2013","1","regular","2013-08-30T02:00:00.000Z","false","true","false","false","13136","3935","Spartan Stadium","23","San José State","Mountain West","fbs","24","3","14","7","0","0.6962340643634437","","","16","Sacramento State","Big Sky","fcs","0","0","0","0","0","0.3037659356365563","","","2.36747847616377","",""
"332410278","2013","1","regular","2013-08-30T02:30:00.000Z","","true","false","false","33098","3660","Bulldog Stadium","278","Fresno State","Mountain West","fbs","52","7","14","7","17","0.6571824069023181","1578","1578","164","Rutgers","American Athletic","fbs","51","10","10","11","14","0.3428175930976819","1566","1566","8.35973749357989","",""
"332410062","2013","1","regular","2013-08-30T03:00:00.000Z","","true","false","false","39058","3610","Aloha Stadium","62","Hawai'i","Mountain West","fbs","13","0","5","0","8","0.2819356958010633","1304","1300","30","USC","Pac-12","fbs","30","3","17","0","10","0.7180643041989367","1689","1693","4.81186681781684","",""
"332420349","2013","1","regular","2013-08-30T23:00:00.000Z","false","true","false","false","24245","3841","Blaik Field at Michie Stadium","349","Army","FBS Independents","fbs","28","14","7","7","0","0.9398948361580869","","","2415","Morgan State","MEAC","fcs","12","0","6","6","0","0.06010516384191311","","","1.85084761999402","",""
"332422247","2013","1","regular","2013-08-30T23:00:00.000Z","false","true","true","false","17606","3495","Georgia Dome","2247","Georgia State","Sun Belt","fbs","21","7","7","0","7","0.9337944557916409","","","2535","Samford","Southern","fcs","31","7","0","7","17","0.06620554420835911","","","6.67226052736065","",""
"332422390","2013","1","regular","2013-08-31T00:00:00.000Z","","true","false","false","50151","3948","Hard Rock Stadium","2390","Miami","ACC","fbs","34","3","17","14","0","0.9988641610161783","1585","1623","2226","Florida Atlantic","Conference USA","fbs","6","0","3","3","0","0.0011358389838217464","1279","1241","7.1628476044397","",""
"332420127","2013","1","regular","2013-08-31T00:00:00.000Z","","true","false","false","71214","3936","Spartan Stadium","127","Michigan State","Big Ten","fbs","26","7","6","6","7","0.9623109243081889","1637","1645","2711","Western Michigan","Mid-American","fbs","13","0","7","0","6","0.037689075691811125","1425","1417","4.86719017919486","",""
"332422567","2013","1","regular","2013-08-31T00:00:00.000Z","","true","false","false","34790","3735","Gerald J. Ford Stadium","2567","SMU","American Athletic","fbs","23","3","6","7","7","0.5467224509419356","1578","1529","2641","Texas Tech","Big 12","fbs","41","3","10","7","21","0.4532775490580644","1530","1579","7.24580601091852","",""
"332420248","2013","1","regular","2013-08-31T00:30:00.000Z","","true","false","false","26205","","","248","Houston","American Athletic","fbs","62","10","17","14","21","0.9987549692671617","","","2582","Southern","SWAC","fcs","13","0","6","7","0","0.0012450307328383259","","","3.00357602393265","",""
"332422306","2013","1","regular","2013-08-31T00:30:00.000Z","false","true","false","false","53351","3636","Bill Snyder Family Football Stadium","2306","Kansas State","Big 12","fbs","21","0","7","14","0","0.43137178317001457","","","2449","North Dakota State","MVFC","fcs","24","7","0","10","7","0.5686282168299854","","","5.09583461009748","",""
"332420012","2013","1","regular","2013-08-31T02:00:00.000Z","false","true","false","false","53793","3619","Arizona Stadium","12","Arizona","Pac-12","fbs","35","7","7","14","7","0.8255494085359689","","","2464","Northern Arizona","Big Sky","fcs","0","0","0","0","0","0.17445059146403108","","","1.84399828830781","",""
"332432132","2013","1","regular","2013-08-31T16:00:00.000Z","","true","false","false","36007","3854","Nippert Stadium","2132","Cincinnati","American Athletic","fbs","42","0","14","14","14","0.9956346371568269","1659","1725","2509","Purdue","Big Ten","fbs","7","0","7","0","0","0.004365362843173126","1405","1339","2.77451712086952","",""
"332430356","2013","1","regular","2013-08-31T16:00:00.000Z","false","true","false","false","42175","3832","Memorial Stadium","356","Illinois","Big Ten","fbs","42","3","22","14","3","0.9599864176461247","","","79","Southern Illinois","MVFC","fcs","34","7","0","17","10","0.04001358235387531","","","5.17471661277634","",""
"332430275","2013","1","regular","2013-08-31T16:00:00.000Z","","true","false","false","76306","347","Camp Randall Stadium","275","Wisconsin","Big Ten","fbs","45","10","7","21","7","0.9816936490619875","1842","1880","113","UMass","Mid-American","fbs","0","0","0","0","0","0.018306350938012472","1090","1052","1.92432147542864","",""
