"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"400548403","2014","1","regular","2014-08-27T23:00:00.000Z","false","true","true","false","10140","3495","Georgia Dome","2247","Georgia State","Sun Belt","fbs","38","7","14","0","17","0.7040558473410293","","","2000","Abilene Christian","Southland","fcs","37","3","13","14","7","0.29594415265897067","","","9.07877961509999","",""
"400548402","2014","1","regular","2014-08-28T22:00:00.000Z","","true","false","true","82847","3994","Williams-Brice Stadium","2579","South Carolina","SEC","fbs","28","7","7","14","0","0.005651845193381177","1863","1787","245","Texas A&M","SEC","fbs","52","10","21","14","7","0.9943481548066189","1765","1841","3.5531582091","",""
"400547829","2014","1","regular","2014-08-28T23:00:00.000Z","","true","false","false","21003","3817","Malone Stadium","2433","Louisiana Monroe","Sun Belt","fbs","17","0","0","10","7","0.9897190482041446","1304","1318","154","Wake Forest","ACC","fbs","10","7","3","0","0","0.01028095179585542","1377","1363","6.45099184669999","",""
"400548090","2014","1","regular","2014-08-28T23:00:00.000Z","false","true","false","false","9104","3768","Summa Field at InfoCision Stadium","2006","Akron","Mid-American","fbs","41","21","0","13","7","0.9999808191061406","","","47","Howard","MEAC","fcs","0","0","0","0","0","0.00001918089385943844","","","0.3205177698","",""
"400548092","2014","1","regular","2014-08-28T23:00:00.000Z","false","true","false","false","15793","3786","Kelly/Shorts Stadium","2117","Central Michigan","Mid-American","fbs","20","0","7","13","0","0.9903185288801162","","","236","Chattanooga","Southern","fcs","16","3","13","0","0","0.009681471119883822","","","5.7886499469","",""
"400547960","2014","1","regular","2014-08-28T23:00:00.000Z","false","true","false","false","0","3953","TCF Bank Stadium","135","Minnesota","Big Ten","fbs","42","7","7","7","21","0.9087074786456913","","","2197","Eastern Illinois","OVC","fcs","20","0","0","0","20","0.09129252135430865","","","3.08472996929999","",""
"400548091","2014","1","regular","2014-08-28T23:00:00.000Z","false","true","false","false","12398","3764","Brigham Field at Huskie Stadium","2459","Northern Illinois","Mid-American","fbs","55","17","17","21","0","0.9999794290349522","","","2506","Presbyterian College","Big South","fcs","3","0","0","3","0","0.00002057096504781697","","","0.105036553899999","",""
"400548256","2014","1","regular","2014-08-28T23:30:00.000Z","false","true","false","false","45925","587","Rice-Eccles Stadium","254","Utah","Pac-12","fbs","56","14","21","14","7","0.9998468251641687","","","304","Idaho State","Big Sky","fcs","14","7","0","7","0","0.00015317483583132674","","","0.0989172586999997","",""
"400548404","2014","1","regular","2014-08-29T00:00:00.000Z","false","true","false","false","13772","3601","Aggie Memorial Stadium","166","New Mexico State","Sun Belt","fbs","28","7","7","7","7","0.9841450076778355","","","13","Cal Poly","Big Sky","fcs","10","7","3","0","0","0.015854992322164474","","","4.4663683112","",""
"400548169","2014","1","regular","2014-08-29T00:00:00.000Z","","true","true","false","32823","3495","Georgia Dome","145","Ole Miss","SEC","fbs","35","7","0","0","28","","1625","1690","68","Boise State","Mountain West","fbs","13","0","3","3","7","","1653","1588","3.29355607419999","",""
"400547647","2014","1","regular","2014-08-29T00:00:00.000Z","","true","false","true","19032","3674","Skelly Field at H. A. Chapman Stadium","202","Tulsa","American Athletic","fbs","38","0","14","3","11","0.632972613107618","1345","1356","2655","Tulane","American Athletic","fbs","31","7","14","0","7","0.367027386892382","1374","1363","9.36000716619999","",""
"400553383","2014","1","regular","2014-08-29T02:00:00.000Z","false","true","false","false","10371","3935","Spartan Stadium","23","San José State","Mountain West","fbs","42","14","7","14","7","0.9999555698059409","","","155","North Dakota","Big Sky","fcs","10","0","3","0","7","0.000044430194059086325","","","0.3501613633","",""
"400547993","2014","1","regular","2014-08-29T02:00:00.000Z","","true","false","false","30927","3673","CenturyLink Field","265","Washington State","Pac-12","fbs","38","3","14","14","7","0.9125893830975795","1450","1444","164","Rutgers","Big Ten","fbs","41","7","14","3","17","0.08741061690242047","1429","1435","6.70382213589999","",""
"400548255","2014","1","regular","2014-08-29T02:30:00.000Z","false","true","false","false","52133","3947","Sun Devil Stadium","9","Arizona State","Pac-12","fbs","45","17","14","14","0","0.9999532688956798","","","2692","Weber State","Big Sky","fcs","14","0","0","7","7","0.00004673110432018568","","","0.0848473633000005","",""
"400547640","2014","1","regular","2014-08-29T02:50:00.000Z","","true","false","false","31731","3973","Vanderbilt Stadium","238","Vanderbilt","SEC","fbs","7","0","7","0","0","0.1175899079548855","1599","1495","218","Temple","American Athletic","fbs","37","7","14","13","3","0.8824100920451146","1455","1559","3.7421833866","",""
"400547641","2014","1","regular","2014-08-29T23:00:00.000Z","","true","false","false","35150","3892","Rentschler Field","41","Connecticut","American Athletic","fbs","10","0","7","0","3","0.003993853309218082","1428","1388","252","BYU","FBS Independents","fbs","35","14","14","0","7","0.9960061466907819","1655","1695","2.7875415673","",""
"400547952","2014","1","regular","2014-08-29T23:30:00.000Z","false","true","false","false","75127","3936","Spartan Stadium","127","Michigan State","Big Ten","fbs","45","21","17","7","0","0.9999600408058137","","","55","Jacksonville State","OVC","fcs","7","0","0","7","0","0.000039959194186312","","","0.2224963838","",""
"400547815","2014","1","regular","2014-08-29T23:30:00.000Z","false","true","false","false","41189","1964","Carrier Dome","183","Syracuse","ACC","fbs","27","7","3","7","0","0.22037707803785347","","","222","Villanova","CAA","fcs","26","0","7","7","3","0.7796229219621466","","","7.37332673409999","",""
"400548003","2014","1","regular","2014-08-29T23:30:00.000Z","","true","false","false","17215","3796","Houchens Industries-L. T. Smith Stadium","98","Western Kentucky","Conference USA","fbs","59","14","17","14","14","0.9984383060216363","1469","1572","189","Bowling Green","Mid-American","fbs","31","0","10","14","7","0.0015616939783636985","1695","1592","3.30163333089999","",""
"400547644","2014","1","regular","2014-08-30T01:00:00.000Z","","true","false","false","40755","4728","John O'Quinn Field at TDECU Stadium","248","Houston","American Athletic","fbs","7","0","0","0","7","0.004812813549078435","1612","1542","2636","UT San Antonio","Conference USA","fbs","27","7","7","10","3","0.9951871864509215","1451","1521","4.9561921712","",""
"400548171","2014","1","regular","2014-08-30T01:00:00.000Z","","true","true","false","63363","3937","Sports Authority Field at Mile High","38","Colorado","Pac-12","fbs","17","7","3","7","0","0.014171725046246602","1239","1242","36","Colorado State","Mountain West","fbs","31","0","7","7","17","0.9858282749537534","1559","1556","4.7176177095","",""
"400548177","2014","1","regular","2014-08-30T02:30:00.000Z","","true","false","false","50103","3619","Arizona Stadium","12","Arizona","Pac-12","fbs","58","14","10","24","10","0.9999733340834178","1601","1704","2439","UNLV","Mountain West","fbs","13","0","6","7","0","0.000026665916582180316","1374","1271","2.8632631514","",""
"400547642","2014","1","regular","2014-08-30T12:30:00.000Z","","true","true","false","53304","4737","Croke Park Stadium","2116","UCF","American Athletic","fbs","24","0","3","7","14","0.15805505480138993","1721","1716","213","Penn State","Big Ten","fbs","26","7","3","10","6","0.8419449451986101","1577","1582","7.0243004109","",""
"400547988","2014","1","regular","2014-08-30T16:00:00.000Z","","true","false","false","37031","3907","Ross-Ade Stadium","2509","Purdue","Big Ten","fbs","43","7","16","14","6","0.9899818020905746","1249","1263","2711","Western Michigan","Mid-American","fbs","34","7","7","14","6","0.010018197909425375","1235","1221","6.3715614153","",""
"400547808","2014","1","regular","2014-08-30T16:00:00.000Z","false","true","false","false","40549","3752","Heinz Field","221","Pittsburgh","ACC","fbs","62","21","21","13","7","","","","48","Delaware","CAA","fcs","0","0","0","0","0","","","","","",""
"400547820","2014","1","regular","2014-08-30T16:00:00.000Z","","true","false","false","44749","3923","Scott Stadium","258","Virginia","ACC","fbs","20","0","10","7","3","0.1319547048139033","1298","1316","26","UCLA","Pac-12","fbs","28","0","21","7","0","0.8680452951860966","1748","1730","6.12967389849999","",""
"400547982","2014","1","regular","2014-08-30T16:00:00.000Z","","true","true","false","57579","3814","M&T Bank Stadium","2426","Navy","FBS Independents","fbs","17","0","7","7","3","0.1278787544176819","1525","1520","194","Ohio State","Big Ten","fbs","34","3","3","14","14","0.8721212455823181","1831","1836","3.8017666658","",""
"400547943","2014","1","regular","2014-08-30T16:00:00.000Z","","true","false","false","106811","3558","Michigan Stadium","130","Michigan","Big Ten","fbs","52","14","21","14","3","0.9994738244654702","1668","1739","2026","Appalachian State","Sun Belt","fbs","14","0","0","7","7","0.0005261755345298269","1383","1312","0.2166280697","",""
"400548010","2014","1","regular","2014-08-30T16:00:00.000Z","","true","false","false","27133","3803","Legion Field","5","UAB","Conference USA","fbs","48","17","7","14","10","0.9999242178403273","1081","1230","2653","Troy","Sun Belt","fbs","10","7","3","0","0","0.00007578215967274371","1339","1190","2.84037649","",""
