"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"242410193","2004","1","regular","2004-08-28T23:00:00.000Z","false","true","false","false","0","3996","Yager Stadium","193","Miami (OH)","Mid-American","fbs","49","14","28","7","0","","","","282","Indiana State","MVFC","fcs","0","0","0","0","0","","","","","",""
"242410259","2004","1","regular","2004-08-28T23:40:00.000Z","","true","false","true","91665","","","259","Virginia Tech","ACC","fbs","13","3","7","0","3","","1748","1740","30","USC","Pac-10","fbs","24","7","0","7","10","","1925","1933","","","BCA CLASSIC AT LANDOVER MD"
"243492572","2004","1","postseason","2004-12-15T00:30:00.000Z","","true","false","false","27253","3493","Mercedes-Benz Superdome","249","North Texas","Sun Belt","fbs","10","0","3","0","7","","1346","1308","2572","Southern Mississippi","Conference USA","fbs","31","14","3","0","14","","1484","1522","","",""
"243560059","2004","1","postseason","2004-12-22T00:45:00.000Z","","true","false","false","0","721","Bobby Dodd Stadium at Historic Grant Field","59","Georgia Tech","ACC","fbs","51","21","14","14","2","","1614","1718","183","Syracuse","Big East","fbs","14","6","0","0","8","","1601","1497","","",""
"243570235","2004","1","postseason","2004-12-23T01:00:00.000Z","","true","false","false","0","3805","Liberty Bowl Memorial Stadium","235","Memphis","Conference USA","fbs","35","7","21","0","7","","1521","1510","189","Bowling Green","Mid-American","fbs","52","21","14","7","10","","1822","1833","","",""
"243582132","2004","1","postseason","2004-12-23T23:30:00.000Z","","true","false","false","0","3854","Nippert Stadium","2132","Cincinnati","Conference USA","fbs","32","10","14","0","8","","1514","1558","276","Marshall","Mid-American","fbs","14","14","0","0","0","","1554","1510","","",""
"243582751","2004","1","postseason","2004-12-24T03:45:00.000Z","","true","false","true","0","","","26","UCLA","Pac-10","fbs","21","0","14","7","0","","1675","1655","2751","Wyoming","Mountain West","fbs","24","10","0","0","14","","1430","1450","","",""
"243590005","2004","1","postseason","2004-12-25T00:00:00.000Z","","true","false","false","0","3803","Legion Field","5","UAB","Conference USA","fbs","40","13","13","7","7","","1416","1353","62","Hawai'i","Western Athletic","fbs","59","21","7","17","14","","1283","1346","","",""
"243620278","2004","1","postseason","2004-12-27T19:00:00.000Z","","true","false","false","0","3660","Bulldog Stadium","278","Fresno State","Western Athletic","fbs","37","7","3","7","14","","1851","1852","258","Virginia","ACC","fbs","34","14","7","3","7","","1828","1827","","",""
"243622649","2004","1","postseason","2004-12-27T22:30:00.000Z","","true","false","false","0","3739","Glass Bowl","41","Connecticut","Big East","fbs","39","17","13","3","6","","1560","1645","2649","Toledo","Mid-American","fbs","10","0","7","3","0","","1627","1542","","",""
"243630066","2004","1","postseason","2004-12-28T23:30:00.000Z","","true","false","false","0","3772","Jack Trice Stadium","66","Iowa State","Big 12","fbs","17","7","3","0","7","","1382","1394","193","Miami (OH)","Mid-American","fbs","13","0","7","6","0","","1657","1645","","",""
"243630087","2004","1","postseason","2004-12-29T02:45:00.000Z","","true","false","false","45917","","","204","Oregon State","Pac-10","fbs","38","14","7","3","14","","1728","1757","87","Notre Dame","FBS Independents","fbs","21","0","7","7","7","","1643","1614","","",""
"243642638","2004","1","postseason","2004-12-29T21:30:00.000Z","","true","false","false","0","3946","Sun Bowl Stadium","2638","UTEP","Western Athletic","fbs","28","14","7","0","7","","1463","1460","38","Colorado","Big 12","fbs","33","3","10","6","14","","1546","1549","","",""
"243640197","2004","1","postseason","2004-12-30T01:00:00.000Z","","true","false","false","65265","3604","Alamodome","194","Ohio State","Big Ten","fbs","33","13","10","7","3","","1765","1828","197","Oklahoma State","Big 12","fbs","7","0","0","0","7","","1733","1670","","",""
"243650153","2004","1","postseason","2004-12-30T18:00:00.000Z","","true","true","false","0","3787","Kenan Memorial Stadium","153","North Carolina","ACC","fbs","24","7","14","3","0","","1431","1428","103","Boston College","Big East","fbs","37","14","7","0","16","","1660","1663","","",""
"243652426","2004","1","postseason","2004-12-30T21:30:00.000Z","","true","false","false","0","3852","Navy-Marine Corps Memorial Stadium","2426","Navy","FBS Independents","fbs","34","14","10","7","3","","1525","1562","167","New Mexico","Mountain West","fbs","19","7","12","0","0","","1589","1552","","",""
