"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"59740","1995","1","regular","1995-08-26T00:00:00.000Z","","true","false","","","","","130","Michigan","Big Ten","fbs","18","","","1729","1729","258","Virginia","ACC","fbs","17","","","1719","1719","","",""
"59741","1995","1","regular","1995-08-27T00:00:00.000Z","","true","false","","","","","194","Ohio State","Big Ten","fbs","38","","","1717","1806","103","Boston College","Big East","fbs","6","","","1726","1637","","",""
"60358","1995","1","postseason","1995-12-02T00:00:00.000Z","","true","true","true","","","","57","Florida","SEC","fbs","34","","","2207","2229","8","Arkansas","SEC","fbs","3","","","1597","1575","","",""
"60362","1995","1","postseason","1995-12-14T00:00:00.000Z","","true","true","","","","","2649","Toledo","Mid-American","fbs","40","","","1595","1601","2440","Nevada","Big West","fbs","37","","","1587","1581","","",""
"60363","1995","1","postseason","1995-12-25T00:00:00.000Z","","true","true","","","","","2305","Kansas","Big 8","fbs","51","","","1665","1726","26","UCLA","Pac-10","fbs","30","","","1693","1632","","",""
"60364","1995","1","postseason","1995-12-27T00:00:00.000Z","","true","true","","","","","2641","Texas Tech","Southwest","fbs","55","","","1656","1683","2005","Air Force","Western Athletic","fbs","41","","","1563","1536","","",""
"60365","1995","1","postseason","1995-12-28T00:00:00.000Z","","true","true","","","","","245","Texas A&M","Southwest","fbs","22","","","1895","1898","130","Michigan","Big Ten","fbs","20","","","1866","1863","","",""
"60368","1995","1","postseason","1995-12-29T00:00:00.000Z","","true","true","","","","","99","LSU","SEC","fbs","45","","","1827","1850","127","Michigan State","Big Ten","fbs","26","","","1546","1523","","",""
"60367","1995","1","postseason","1995-12-29T00:00:00.000Z","","true","true","","","","","2306","Kansas State","Big 8","fbs","54","","","2012","2077","36","Colorado State","Western Athletic","fbs","21","","","1740","1675","","",""
"60366","1995","1","postseason","1995-12-29T00:00:00.000Z","","true","true","","","","","2294","Iowa","Big Ten","fbs","38","","","1686","1748","264","Washington","Pac-10","fbs","18","","","1749","1687","","",""
"60371","1995","1","postseason","1995-12-30T00:00:00.000Z","","true","true","","","","","258","Virginia","ACC","fbs","34","","","1747","1750","61","Georgia","SEC","fbs","27","","","1556","1553","","",""
"60370","1995","1","postseason","1995-12-30T00:00:00.000Z","","true","true","","","","","153","North Carolina","ACC","fbs","20","","","1694","1708","8","Arkansas","SEC","fbs","10","","","1575","1561","","",""
"60369","1995","1","postseason","1995-12-30T00:00:00.000Z","","true","true","","","","","151","East Carolina","FBS Independents","fbs","19","","","1577","1592","24","Stanford","Pac-10","fbs","13","","","1603","1588","","",""
"60372","1995","1","postseason","1995-12-31T00:00:00.000Z","","true","true","","","","","259","Virginia Tech","Big East","fbs","28","","","1813","1865","251","Texas","Southwest","fbs","10","","","1848","1796","","",""
"60378","1995","1","postseason","1996-01-01T00:00:00.000Z","","true","true","","","","","2633","Tennessee","SEC","fbs","20","","","2078","2091","194","Ohio State","Big Ten","fbs","14","","","2068","2055","","",""
"60377","1995","1","postseason","1996-01-01T00:00:00.000Z","","true","true","","","","","183","Syracuse","Big East","fbs","41","","","1719","1842","228","Clemson","ACC","fbs","0","","","1672","1549","","",""
"60376","1995","1","postseason","1996-01-01T00:00:00.000Z","","true","true","","","","","30","USC","Pac-10","fbs","41","","","1805","1823","77","Northwestern","Big Ten","fbs","32","","","1765","1747","","",""
"60375","1995","1","postseason","1996-01-01T00:00:00.000Z","","true","true","","","","","213","Penn State","Big Ten","fbs","43","","","1893","1969","2","Auburn","SEC","fbs","14","","","1820","1744","","",""
"60374","1995","1","postseason","1996-01-01T00:00:00.000Z","","true","true","","","","","52","Florida State","ACC","fbs","31","","","2193","2187","87","Notre Dame","FBS Independents","fbs","26","","","1897","1903","","",""
"60373","1995","1","postseason","1996-01-01T00:00:00.000Z","","true","true","","","","","38","Colorado","Big 8","fbs","38","","","1927","1998","2483","Oregon","Pac-10","fbs","6","","","1734","1663","","",""
"60379","1995","1","postseason","1996-01-02T00:00:00.000Z","","true","true","","","","","158","Nebraska","Big 8","fbs","62","","","2354","2455","57","Florida","SEC","fbs","24","","","2229","2128","","",""
"59749","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","","","","","2711","Western Michigan","Mid-American","fbs","28","","","","","2692","Weber State","","","21","","","","","","",""
"59748","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","","","","","2572","Southern Mississippi","FBS Independents","fbs","45","","","1481","1551","2459","Northern Illinois","Big West","fbs","13","","","1345","1275","","",""
"59747","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","","","","","152","NC State","ACC","fbs","33","","","1543","1574","276","Marshall","","","16","","","1477","1446","","",""
"59745","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","","","","","189","Bowling Green","Mid-American","fbs","21","","","1664","1610","2348","Louisiana Tech","Big West","fbs","28","","","1207","1261","","",""
"59744","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","","","","","66","Iowa State","Big 8","fbs","36","","","1397","1411","195","Ohio","Mid-American","fbs","21","","","1193","1179","","",""
"59742","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","","","","","154","Wake Forest","ACC","fbs","22","","","1234","1242","2026","Appalachian State","","","24","","","1436","1428","","",""
"59743","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","true","","","","193","Miami (OH)","Mid-American","fbs","15","","","1425","1421","2050","Ball State","Mid-American","fbs","17","","","1403","1407","","",""
"59746","1995","2","regular","1995-08-31T00:00:00.000Z","","true","false","true","","","","197","Oklahoma State","Big 8","fbs","21","","","1407","1342","158","Nebraska","Big 8","fbs","64","","","1887","1952","","",""
