"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401282714","2021","1","regular","2021-08-28T17:20:00.000Z","false","true","false","true","41064","3832","Memorial Stadium","356","Illinois","Big Ten","fbs","30","2","14","14","0","0.4056606386617034","1392","1411","158","Nebraska","Big Ten","fbs","22","0","9","7","6","0.5943393613382966","1503","1484","5.4859812562","",""
"401286187","2021","1","regular","2021-08-28T18:00:00.000Z","false","true","false","false","26043","3660","Bulldog Stadium","278","Fresno State","Mountain West","fbs","45","7","24","7","7","0.9989676192140482","1465","1566","41","Connecticut","FBS Independents","fbs","0","0","0","0","0","0.001032380785951803","1223","1122","1.5355562765","",""
"401309833","2021","1","regular","2021-08-28T19:30:00.000Z","false","true","false","false","32982","1056","Rose Bowl","26","UCLA","Pac-12","fbs","44","24","7","13","0","0.998923796291393","1517","1605","62","Hawai'i","Mountain West","fbs","10","3","0","7","0","0.0010762037086069487","1466","1378","1.3911846797","",""
"401282049","2021","1","regular","2021-08-29T01:30:00.000Z","false","true","false","false","19034","3601","Aggie Memorial Stadium","166","New Mexico State","FBS Independents","fbs","3","0","3","0","0","0.0003672266073629033","1261","1182","2638","UTEP","Conference USA","fbs","30","17","3","10","0","0.9996327733926371","1222","1301","1.7024199439","",""
"401310693","2021","1","regular","2021-08-29T02:00:00.000Z","false","true","false","false","16204","3935","Spartan Stadium","23","San José State","Mountain West","fbs","45","21","17","7","0","","","","253","Southern Utah","Big Sky","fcs","14","0","14","0","0","","","","","",""
"401282050","2021","1","regular","2021-09-01T23:30:00.000Z","false","true","true","false","9122","3689","Cramton Bowl","55","Jacksonville State","AWC","fcs","0","0","0","0","0","0.0003023172538635826","","","5","UAB","Conference USA","fbs","31","0","10","14","7","0.9996976827461365","","","2.1316123178","","Montgomery Kickoff"
"401309540","2021","1","regular","2021-09-02T23:00:00.000Z","false","true","false","false","13149","3919","Scheumann Stadium","2050","Ball State","Mid-American","fbs","31","7","0","14","10","0.9215833962326455","","","2710","Western Illinois","MVFC","fcs","21","0","7","7","7","0.07841660376735449","","","2.0262390412","",""
"401300995","2021","1","regular","2021-09-02T23:00:00.000Z","false","true","false","false","43928","3652","Bright House Networks Stadium","2116","UCF","American Athletic","fbs","36","0","14","14","8","0.9342124591737911","1648","1651","68","Boise State","Mountain West","fbs","31","14","10","0","7","0.06578754082620886","1602","1599","10.2014008911","",""
"401328545","2021","1","regular","2021-09-02T23:00:00.000Z","false","true","false","false","16236","3654","Brooks Stadium","324","Coastal Carolina","Sun Belt","fbs","52","7","24","14","7","","","","2643","The Citadel","Southern","fcs","14","0","0","7","7","","","","","",""
"401309542","2021","1","regular","2021-09-02T23:00:00.000Z","false","true","false","false","17521","3965","UB Stadium","2084","Buffalo","Mid-American","fbs","69","14","24","21","10","0.9989708487592075","","","2681","Wagner","NEC","fcs","7","0","0","0","7","0.001029151240792503","","","1.1537534212","",""
"401300993","2021","1","regular","2021-09-02T23:30:00.000Z","false","true","false","false","36752","3792","Kidd Brewer Stadium","2026","Appalachian State","Sun Belt","fbs","33","14","6","7","6","0.9981479820345208","1659","1666","151","East Carolina","American Athletic","fbs","19","6","0","3","10","0.0018520179654791802","1403","1396","3.0846558976","",""
"401309834","2021","1","regular","2021-09-02T23:30:00.000Z","false","true","false","false","51511","587","Rice-Eccles Stadium","254","Utah","Pac-12","fbs","40","13","6","7","14","0.9832270850528867","","","2692","Weber State","Big Sky","fcs","17","7","0","3","7","0.016772914947113304","","","1.7192597055","",""
"401300994","2021","1","regular","2021-09-02T23:30:00.000Z","false","true","false","false","15085","3674","Skelly Field at H. A. Chapman Stadium","202","Tulsa","American Athletic","fbs","17","3","7","7","0","","","","302","UC Davis","Big Sky","fcs","19","7","3","3","6","","","","","",""
"401282607","2021","1","regular","2021-09-02T23:30:00.000Z","false","true","false","false","52633","3670","Carter-Finley Stadium","152","NC State","ACC","fbs","45","10","14","14","7","0.9987026978526787","1460","1565","58","South Florida","American Athletic","fbs","0","0","0","0","0","0.0012973021473212665","1251","1146","1.7199176694","",""
"401282789","2021","1","regular","2021-09-03T00:00:00.000Z","false","true","false","true","50805","3953","TCF Bank Stadium","135","Minnesota","Big Ten","fbs","31","0","14","7","10","0.170686074828574","1585","1582","194","Ohio State","Big Ten","fbs","45","7","3","21","14","0.829313925171426","1905","1908","4.2812072260","",""
"401282180","2021","1","regular","2021-09-03T00:00:00.000Z","false","true","false","false","16236","3796","Houchens Industries-L. T. Smith Stadium","98","Western Kentucky","Conference USA","fbs","59","7","21","17","14","0.9974874797982355","","","2630","UT Martin","OVC","fcs","21","7","7","0","7","0.002512520201764512","","","3.4696869058","",""
"401310696","2021","1","regular","2021-09-03T00:00:00.000Z","false","true","false","false","15908","3971","University Stadium","167","New Mexico","Mountain West","fbs","27","14","7","3","3","","","","2277","Houston Christian","Southland","fcs","17","0","10","0","7","","","","","",""
"401281952","2021","1","regular","2021-09-03T00:00:00.000Z","false","true","false","false","84314","3853","Neyland Stadium","2633","Tennessee","SEC","fbs","38","14","0","14","10","0.9851715866948813","1489","1524","189","Bowling Green","Mid-American","fbs","6","0","6","0","0","0.014828413305118748","1041","1006","1.2554934078","",""
"401282051","2021","1","regular","2021-09-03T00:05:00.000Z","false","true","false","false","0","218","FIU Stadium","2229","Florida International","Conference USA","fbs","48","21","7","10","10","","","","112358","Long Island University","NEC","fcs","10","0","10","0","0","","","","1.8254855440","",""
"401310694","2021","1","regular","2021-09-03T02:00:00.000Z","false","true","false","false","21970","6501","Allegiant Stadium","2439","UNLV","Mountain West","fbs","33","0","6","0","14","","","","331","Eastern Washington","Big Sky","fcs","35","0","3","17","0","","","","","",""
"401309835","2021","1","regular","2021-09-03T02:30:00.000Z","false","true","false","false","44456","3947","Sun Devil Stadium","9","Arizona State","Pac-12","fbs","41","13","15","6","7","0.9989417266712739","","","253","Southern Utah","Big Sky","fcs","14","7","0","7","0","0.0010582733287261004","","","1.1008051137","",""
"401309937","2021","1","regular","2021-09-03T22:00:00.000Z","false","true","false","true","65632","3799","Lane Stadium","259","Virginia Tech","ACC","fbs","17","7","7","0","3","0.9657623026389909","1535","1556","153","North Carolina","ACC","fbs","10","0","0","7","3","0.03423769736100912","1725","1704","6.1739447701","",""
"401282608","2021","1","regular","2021-09-03T23:00:00.000Z","false","true","false","false","25673","3630","BB&T Field","154","Wake Forest","ACC","fbs","42","14","14","7","7","","1519","1580","295","Old Dominion","Conference USA","fbs","10","3","0","0","7","","1303","1242","","",""
"401282052","2021","1","regular","2021-09-03T23:00:00.000Z","false","true","false","false","14125","4418","Jerry Richardson Stadium","2429","Charlotte","Conference USA","fbs","31","7","3","7","14","0.3802794763077427","1366","1366","150","Duke","ACC","fbs","28","0","14","0","14","0.6197205236922573","1295","1295","9.9391115015","",""
