"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401110723","2019","1","regular","2019-08-24T23:00:00.000Z","","true","true","false","66543","4013","Camping World Stadium","57","Florida","SEC","fbs","24","7","0","10","7","0.9059534582132265","1683","1688","2390","Miami","ACC","fbs","20","3","10","0","7","0.09404654178677352","1611","1606","8.7679102419","https://www.youtube.com/watch?v=WeJi4p0jqXA","CAMPING WORLD KICKOFF"
"401114164","2019","1","regular","2019-08-25T02:30:00.000Z","","true","false","false","22396","3610","Aloha Stadium","62","Hawai'i","Mountain West","fbs","45","14","14","7","10","0.6886295726282241","1281","1302","12","Arizona","Pac-12","fbs","38","0","21","14","3","0.3113704273717759","1467","1446","7.84241686779999","https://www.youtube.com/watch?v=eJI8vkRqz0o",""
"401119254","2019","1","regular","2019-08-29T23:00:00.000Z","false","true","false","false","17620","3700","Doyt Perry Stadium","189","Bowling Green","Mid-American","fbs","46","13","17","7","9","0.9999785280584667","","","2415","Morgan State","MEAC","fcs","3","0","3","0","0","0.000021471941533346417","","","0.4729679719","",""
"401117854","2019","1","regular","2019-08-29T23:00:00.000Z","","true","false","false","38032","3854","Nippert Stadium","2132","Cincinnati","American Athletic","fbs","24","7","3","7","7","0.9968294673908809","1625","1629","26","UCLA","Pac-12","fbs","14","0","7","7","0","0.0031705326091191477","1431","1427","5.4986821262","https://www.youtube.com/watch?v=Y9XAYpeOi0I",""
"401117855","2019","1","regular","2019-08-29T23:00:00.000Z","false","true","false","false","19648","3892","Rentschler Field","41","Connecticut","American Athletic","fbs","24","7","3","14","0","0.7289421137835537","","","2681","Wagner","NEC","fcs","21","0","0","14","7","0.27105788621644633","","","1.83435076049999","https://www.youtube.com/watch?v=qkIibi3TYF8",""
"401119255","2019","1","regular","2019-08-29T23:00:00.000Z","false","true","false","false","18412","3965","UB Stadium","2084","Buffalo","Mid-American","fbs","38","21","7","10","0","0.9997880630567496","","","2523","Robert Morris","NEC","fcs","10","7","3","0","0","0.00021193694325039036","","","0.1185875019","",""
"401117853","2019","1","regular","2019-08-29T23:30:00.000Z","false","true","false","false","44073","3652","Bright House Networks Stadium","2116","UCF","American Athletic","fbs","62","17","31","7","7","0.9999957343184567","","","50","Florida A&M","MEAC","fcs","0","0","0","0","0","0.000004265681543325073","","","0.0275892598999993","https://www.youtube.com/watch?v=JMjct2NYZSc",""
"401135910","2019","1","regular","2019-08-29T23:30:00.000Z","false","true","false","false","16119","4418","Jerry Richardson Stadium","2429","Charlotte","Conference USA","fbs","49","7","28","7","7","0.9992560144881203","","","2241","Gardner-Webb","Big South","fcs","28","0","14","7","7","0.0007439855118797079","","","0.4428072342","",""
"401114246","2019","1","regular","2019-08-29T23:30:00.000Z","false","true","false","false","17120","3796","Houchens Industries-L. T. Smith Stadium","98","Western Kentucky","Conference USA","fbs","28","14","7","7","0","0.0861674673352279","","","2110","Central Arkansas","Southland","fcs","35","0","14","0","21","0.913832532664772","","","4.1608351506","https://www.youtube.com/watch?v=dgeUCVz-0hA",""
"401111653","2019","1","regular","2019-08-30T00:00:00.000Z","","true","false","true","79118","3836","Memorial Stadium","228","Clemson","ACC","fbs","52","14","14","14","10","0.999975851296617","2092","2136","59","Georgia Tech","ACC","fbs","14","0","0","7","7","0.000024148703382964598","1571","1527","0.121090201699999","https://www.youtube.com/watch?v=c7Ih452df30",""
"401114237","2019","1","regular","2019-08-30T00:00:00.000Z","false","true","false","false","39165","3803","Legion Field","5","UAB","Conference USA","fbs","24","14","10","0","0","0.808822993632232","","","2011","Alabama State","SWAC","fcs","19","13","0","6","0","0.19117700636776802","","","1.8230200516","https://www.youtube.com/watch?v=euB43slXeBY",""
"401114236","2019","1","regular","2019-08-30T00:00:00.000Z","","true","false","false","16361","4729","Benson Field at Yulman Stadium","2655","Tulane","American Athletic","fbs","42","7","21","14","0","0.9996684962055076","1451","1527","2229","Florida International","Conference USA","fbs","14","0","7","7","0","0.00033150379449242706","1471","1395","1.52850182699999","https://www.youtube.com/watch?v=VIvyR9Zwhfk",""
"401110731","2019","1","regular","2019-08-30T00:30:00.000Z","","true","false","false","98016","3795","Kyle Field","245","Texas A&M","SEC","fbs","41","14","14","3","10","0.999331374188528","1739","1771","326","Texas State","Sun Belt","fbs","7","0","0","0","7","0.000668625811471979","1217","1185","0.220119628399999","https://www.youtube.com/watch?v=b-rp1D8Q-j0",""
"401119253","2019","1","regular","2019-08-30T00:50:00.000Z","false","true","false","false","12207","3786","Kelly/Shorts Stadium","2117","Central Michigan","Mid-American","fbs","38","7","17","7","7","0.9996297842854641","","","399","Albany","CAA","fcs","21","0","7","7","7","0.000370215714535882","","","1.94634025459999","https://www.youtube.com/watch?v=BXYJc8LTxAk",""
"401112229","2019","1","regular","2019-08-30T01:00:00.000Z","false","true","false","false","49112","3953","TCF Bank Stadium","135","Minnesota","Big Ten","fbs","28","0","13","7","8","0.7079013302374422","","","2571","South Dakota State","MVFC","fcs","21","0","7","14","0","0.2920986697625578","","","4.590705268","https://www.youtube.com/watch?v=sS3pH7mygOE",""
"401117493","2019","1","regular","2019-08-30T02:00:00.000Z","false","true","false","false","13480","3935","Spartan Stadium","23","San José State","Mountain West","fbs","35","14","7","7","7","0.9989727349896149","","","2458","Northern Colorado","Big Sky","fcs","18","3","3","9","3","0.0010272650103850811","","","1.80118927999999","",""
"401114153","2019","1","regular","2019-08-30T02:00:00.000Z","","true","false","false","47413","3947","Sun Devil Stadium","9","Arizona State","Pac-12","fbs","30","10","0","17","3","0.9986764468501403","1597","1610","2309","Kent State","Mid-American","fbs","7","0","0","0","7","0.0013235531498596576","1165","1152","0.8053215533","https://www.youtube.com/watch?v=QEzWhRSQr94",""
"401114223","2019","1","regular","2019-08-30T02:15:00.000Z","","true","false","false","61626","3801","LaVell Edwards Stadium","252","BYU","FBS Independents","fbs","12","0","6","0","6","0.004515069464778168","1553","1520","254","Utah","Pac-12","fbs","30","3","6","7","14","0.9954849305352218","1657","1690","3.2934990524","https://www.youtube.com/watch?v=II3mkORMyGM",""
"401114238","2019","1","regular","2019-08-30T22:00:00.000Z","","true","false","false","23238","3841","Blaik Field at Michie Stadium","349","Army","FBS Independents","fbs","14","0","7","0","7","0.9977163776799017","1745","1727","242","Rice","Conference USA","fbs","7","0","7","0","0","0.0022836223200982664","1185","1203","3.5848448091","https://www.youtube.com/watch?v=kZEGnkMiT3c",""
"401112212","2019","1","regular","2019-08-30T23:00:00.000Z","","true","false","false","72005","3936","Spartan Stadium","127","Michigan State","Big Ten","fbs","28","7","18","3","0","0.9838631812471603","1615","1641","202","Tulsa","American Athletic","fbs","7","0","7","0","0","0.016136818752839677","1379","1353","0.6125123066","https://www.youtube.com/watch?v=MF3k-m5a-1U",""
