"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"53339","1985","1","regular","1985-08-29T00:00:00.000Z","","true","false","","","","","252","BYU","Western Athletic","fbs","28","","","1835","1850","103","Boston College","FBS Independents","fbs","14","","","1673","1658","","",""
"53346","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","","","","","2181","Drake","Missouri Valley","fbs","24","","","","","2623","Missouri State","","","31","","","","","","",""
"53344","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","","","","","62","Hawai'i","Western Athletic","fbs","27","","","1538","1522","2305","Kansas","Big 8","fbs","33","","","1470","1486","","",""
"53341","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","","","","","25","California","Pac-10","fbs","48","","","1374","1466","23","San José State","PCAA","fbs","21","","","1548","1456","","",""
"53340","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","true","","","","2005","Air Force","Western Athletic","fbs","48","","","1647","1715","2638","UTEP","Western Athletic","fbs","6","","","1229","1161","","",""
"53349","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","","","","","2579","South Carolina","FBS Independents","fbs","56","","","","","2643","The Citadel","","","17","","","","","","",""
"53348","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","","","","","221","Pittsburgh","FBS Independents","fbs","31","","","1566","1564","2509","Purdue","Big Ten","fbs","30","","","1471","1473","","",""
"53347","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","true","","","","265","Washington State","Pac-10","fbs","39","","","1541","1532","2483","Oregon","Pac-10","fbs","42","","","1470","1479","","",""
"53345","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","true","","","","309","Louisiana","FBS Independents","fbs","6","","","1517","1433","235","Memphis","FBS Independents","fbs","37","","","1546","1630","","",""
"53343","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","true","","","","2655","Tulane","FBS Independents","fbs","12","","","1467","1429","52","Florida State","FBS Independents","fbs","38","","","1741","1779","","",""
"53342","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","true","","","","2132","Cincinnati","FBS Independents","fbs","31","","","1257","1333","259","Virginia Tech","FBS Independents","fbs","14","","","1619","1543","","",""
"53350","1985","1","regular","1985-08-31T00:00:00.000Z","","true","false","","","","","79","Southern Illinois","Missouri Valley","fbs","63","","","","","1000894","Lincoln","","","0","","","","","","",""
"53351","1985","1","regular","1985-09-02T00:00:00.000Z","","true","false","true","","","","61","Georgia","SEC","fbs","16","","","1644","1636","333","Alabama","SEC","fbs","20","","","1620","1628","","",""
"53994","1985","1","postseason","1985-12-14T00:00:00.000Z","","true","true","","","","","278","Fresno State","PCAA","fbs","51","","","1709","1854","189","Bowling Green","Mid-American","fbs","7","","","1728","1583","","",""
"53996","1985","1","postseason","1985-12-21T00:00:00.000Z","","true","true","","","","","135","Minnesota","Big Ten","fbs","20","","","1450","1481","228","Clemson","ACC","fbs","13","","","1657","1626","","",""
"53995","1985","1","postseason","1985-12-21T00:00:00.000Z","","true","true","","","","","120","Maryland","ACC","fbs","35","","","1801","1835","183","Syracuse","FBS Independents","fbs","18","","","1693","1659","","",""
"53997","1985","1","postseason","1985-12-22T00:00:00.000Z","","true","true","","","","","8","Arkansas","Southwest","fbs","18","","","1839","1840","9","Arizona State","Pac-10","fbs","17","","","1799","1798","","",""
"53998","1985","1","postseason","1985-12-27T00:00:00.000Z","","true","true","","","","","239","Baylor","Southwest","fbs","21","","","1766","1800","99","LSU","SEC","fbs","7","","","1750","1716","","",""
"53999","1985","1","postseason","1985-12-28T00:00:00.000Z","","true","true","","","","","333","Alabama","SEC","fbs","24","","","1782","1828","30","USC","Pac-10","fbs","3","","","1673","1627","","",""
"54000","1985","1","postseason","1985-12-28T00:00:00.000Z","","true","true","","","","","61","Georgia","SEC","fbs","13","","","1881","1881","12","Arizona","Pac-10","fbs","13","","","1731","1731","","",""
"54001","1985","1","postseason","1985-12-28T00:00:00.000Z","","true","true","","","","","194","Ohio State","Big Ten","fbs","10","","","1814","1829","252","BYU","Western Athletic","fbs","7","","","2000","1985","","",""
"54002","1985","1","postseason","1985-12-30T00:00:00.000Z","","true","true","","","","","52","Florida State","FBS Independents","fbs","34","","","1870","1888","197","Oklahoma State","Big 8","fbs","23","","","1762","1744","","",""
"54003","1985","1","postseason","1985-12-30T00:00:00.000Z","","true","true","","","","","264","Washington","Pac-10","fbs","20","","","1652","1654","38","Colorado","Big 8","fbs","17","","","1567","1565","","",""
"54006","1985","1","postseason","1985-12-31T00:00:00.000Z","","true","true","","","","","59","Georgia Tech","ACC","fbs","17","","","1727","1729","127","Michigan State","Big Ten","fbs","14","","","1633","1631","","",""
"54004","1985","1","postseason","1985-12-31T00:00:00.000Z","","true","true","","","","","2005","Air Force","Western Athletic","fbs","24","","","1950","1939","251","Texas","Southwest","fbs","16","","","1517","1528","","",""
"54005","1985","1","postseason","1985-12-31T00:00:00.000Z","","true","true","","","","","349","Army","FBS Independents","fbs","31","","","1635","1636","356","Illinois","Big Ten","fbs","29","","","1543","1542","","",""
"54009","1985","1","postseason","1986-01-01T00:00:00.000Z","","true","true","","","","","2633","Tennessee","SEC","fbs","35","","","1918","2015","2390","Miami","FBS Independents","fbs","7","","","2028","1931","","",""
"54007","1985","1","postseason","1986-01-01T00:00:00.000Z","","true","true","","","","","130","Michigan","Big Ten","fbs","27","","","2029","2040","158","Nebraska","Big 8","fbs","23","","","2085","2074","","",""
"54008","1985","1","postseason","1986-01-01T00:00:00.000Z","","true","true","","","","","201","Oklahoma","Big 8","fbs","25","","","2102","2116","213","Penn State","FBS Independents","fbs","10","","","1835","1821","","",""
"54011","1985","1","postseason","1986-01-01T00:00:00.000Z","","true","true","","","","","26","UCLA","Pac-10","fbs","45","","","1827","1898","2294","Iowa","Big Ten","fbs","28","","","2064","1993","","",""
"54010","1985","1","postseason","1986-01-01T00:00:00.000Z","","true","true","","","","","245","Texas A&M","Southwest","fbs","36","","","1831","1900","2","Auburn","SEC","fbs","16","","","1951","1882","","",""
"53368","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","145","Ole Miss","SEC","fbs","17","","","1505","1510","235","Memphis","FBS Independents","fbs","17","","","1630","1625","","",""
"53391","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","154","Wake Forest","ACC","fbs","30","","","","","2729","William & Mary","","","23","","","","","","",""
"53394","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2306","Kansas State","Big 8","fbs","10","","","1361","1343","1000063","Wichita State","Missouri Valley","fbs","16","","","1271","1289","","",""
"53374","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","true","","","","2459","Northern Illinois","Mid-American","fbs","17","","","1447","1486","2711","Western Michigan","Mid-American","fbs","0","","","1461","1422","","",""
"53380","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","true","","","","23","San José State","PCAA","fbs","32","","","1456","1509","166","New Mexico State","PCAA","fbs","3","","","1253","1200","","",""
"53392","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","true","","","","265","Washington State","Pac-10","fbs","20","","","1532","1531","25","California","Pac-10","fbs","19","","","1466","1467","","",""
"53358","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2132","Cincinnati","FBS Independents","fbs","31","","","","","2046","Austin Peay","","","9","","","","","","",""
"53355","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","239","Baylor","Southwest","fbs","39","","","1573","1609","2751","Wyoming","Western Athletic","fbs","18","","","1443","1407","","",""
"53354","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2","Auburn","SEC","fbs","49","","","1755","1835","309","Louisiana","FBS Independents","fbs","7","","","1433","1353","","",""
"53353","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","12","Arizona","Pac-10","fbs","23","","","1645","1656","2649","Toledo","Mid-American","fbs","10","","","1463","1452","","",""
"53352","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2000","Abilene Christian","","","25","","","","","2704","West Texas A&M","Missouri Valley","fbs","18","","","","","","",""
"53359","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","38","Colorado","Big 8","fbs","23","","","1285","1315","36","Colorado State","Western Athletic","fbs","10","","","1339","1309","","",""
"53360","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2181","Drake","Missouri Valley","fbs","24","","","","","2460","Northern Iowa","","","9","","","","","","",""
"53361","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","150","Duke","ACC","fbs","40","","","1305","1347","77","Northwestern","Big Ten","fbs","17","","","1175","1133","","",""
"53362","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","152","NC State","ACC","fbs","14","","","1404","1360","151","East Carolina","FBS Independents","fbs","33","","","1432","1476","","",""
"53363","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2199","Eastern Michigan","Mid-American","fbs","27","","","","","2754","Youngstown State","","","22","","","","","","",""
"53364","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2390","Miami","FBS Independents","fbs","23","","","1684","1670","57","Florida","SEC","fbs","35","","","1823","1837","","",""
"53365","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","158","Nebraska","Big 8","fbs","13","","","1899","1884","52","Florida State","FBS Independents","fbs","17","","","1779","1794","","",""
"53366","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2287","Illinois State","Missouri Valley","fbs","18","","","","","2710","Western Illinois","","","6","","","","","","",""
"53367","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","282","Indiana State","Missouri Valley","fbs","31","","","","","2594","St. Cloud State","","","14","","","","","","",""
"53390","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","238","Vanderbilt","SEC","fbs","7","","","","","236","Chattanooga","","","0","","","","","","",""
"53369","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","344","Mississippi State","SEC","fbs","22","","","1503","1512","2032","Arkansas State","","","14","","","1449","1440","","",""
"53370","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","79","Southern Illinois","Missouri Valley","fbs","28","","","","","2623","Missouri State","","","40","","","","","","",""
"53371","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","149","Montana","","","31","","","","","1000012","Cal State Fullerton","PCAA","fbs","30","","","","","","",""
"53372","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2439","UNLV","PCAA","fbs","35","","","","","2635","Tennessee Tech","","","7","","","","","","",""
"53373","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2426","Navy","FBS Independents","fbs","19","","","1416","1419","153","North Carolina","ACC","fbs","21","","","1527","1524","","",""
"53375","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","264","Washington","Pac-10","fbs","17","","","1752","1718","197","Oklahoma State","Big 8","fbs","31","","","1737","1771","","",""
"53376","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","204","Oregon State","Pac-10","fbs","43","","","","","70","Idaho","Big Sky","fcs","28","","","","","","",""
"53377","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","1000044","Pacific","PCAA","fbs","49","","","","","16","Sacramento State","","","17","","","","","","",""
"53378","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","120","Maryland","ACC","fbs","18","","","1705","1691","213","Penn State","FBS Independents","fbs","20","","","1516","1530","","",""
"53379","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","259","Virginia Tech","FBS Independents","fbs","14","","","","","257","Richmond","","","24","","","","","","",""
"53357","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","true","","","","2050","Ball State","Mid-American","fbs","6","","","1260","1232","189","Bowling Green","Mid-American","fbs","31","","","1603","1631","","",""
"53389","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","true","","","","1000006","Long Beach State","PCAA","fbs","17","","","1394","1387","328","Utah State","PCAA","fbs","19","","","1321","1328","","",""
"53393","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","true","","","","277","West Virginia","FBS Independents","fbs","52","","","1644","1715","97","Louisville","FBS Independents","fbs","13","","","1329","1258","","",""
"53381","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2579","South Carolina","FBS Independents","fbs","20","","","1633","1630","2026","Appalachian State","","","13","","","1396","1399","","",""
"53382","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","356","Illinois","Big Ten","fbs","10","","","1670","1643","30","USC","Pac-10","fbs","20","","","1599","1626","","",""
"53383","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2567","SMU","Southwest","fbs","35","","","1689","1674","2638","UTEP","Western Athletic","fbs","23","","","1161","1176","","",""
"53384","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2572","Southern Mississippi","FBS Independents","fbs","28","","","1503","1568","2348","Louisiana Tech","","","0","","","1433","1368","","",""
"53385","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","2641","Texas Tech","Southwest","fbs","32","","","1427","1424","167","New Mexico","Western Athletic","fbs","31","","","1296","1299","","",""
"53386","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","202","Tulsa","Missouri Valley","fbs","31","","","1625","1628","248","Houston","Southwest","fbs","24","","","1505","1502","","",""
"53387","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","252","BYU","Western Athletic","fbs","24","","","1850","1831","26","UCLA","Pac-10","fbs","27","","","1626","1645","","",""
"53388","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","","","","","254","Utah","Western Athletic","fbs","20","","","1587","1587","68","Boise State","","","17","","","1475","1475","","",""
"53356","1985","2","regular","1985-09-07T00:00:00.000Z","","true","false","true","","","","103","Boston College","FBS Independents","fbs","28","","","1658","1658","218","Temple","FBS Independents","fbs","25","","","1598","1598","","",""
"53431","1985","3","regular","1985-09-14T00:00:00.000Z","","true","false","","","","","93","Murray State","","","10","","","","","235","Memphis","FBS Independents","fbs","10","","","","","","",""
"53432","1985","3","regular","1985-09-14T00:00:00.000Z","","true","false","","","","","1000012","Cal State Fullerton","PCAA","fbs","3","","","1535","1446","2440","Nevada","","","30","","","1422","1511","","",""
"53433","1985","3","regular","1985-09-14T00:00:00.000Z","","true","false","","","","","166","New Mexico State","PCAA","fbs","27","","","1200","1194","167","New Mexico","Western Athletic","fbs","34","","","1299","1305","","",""
"53434","1985","3","regular","1985-09-14T00:00:00.000Z","","true","false","","","","","2306","Kansas State","Big 8","fbs","6","","","","","2460","Northern Iowa","","","10","","","","","","",""
"53435","1985","3","regular","1985-09-14T00:00:00.000Z","","true","false","","","","","142","Missouri","Big 8","fbs","23","","","1557","1519","77","Northwestern","Big Ten","fbs","27","","","1133","1171","","",""
"53436","1985","3","regular","1985-09-14T00:00:00.000Z","","true","false","","","","","194","Ohio State","Big Ten","fbs","10","","","1775","1773","221","Pittsburgh","FBS Independents","fbs","7","","","1564","1566","","",""
"53437","1985","3","regular","1985-09-14T00:00:00.000Z","","true","false","","","","","197","Oklahoma State","Big 8","fbs","10","","","1771","1760","249","North Texas","","","9","","","1419","1430","","",""
