"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"55282","1988","1","regular","1988-08-27T00:00:00.000Z","","true","false","","","","","158","Nebraska","Big 8","fbs","23","","","1921","1926","245","Texas A&M","Southwest","fbs","14","","","1772","1767","","",""
"55901","1988","1","postseason","1988-12-10T00:00:00.000Z","","true","true","","","","","278","Fresno State","Big West","fbs","35","","","1677","1677","2711","Western Michigan","Mid-American","fbs","30","","","1493","1493","","",""
"55902","1988","1","postseason","1988-12-23T00:00:00.000Z","","true","true","","","","","2572","Southern Mississippi","FBS Independents","fbs","38","","","1523","1592","2638","UTEP","Western Athletic","fbs","18","","","1646","1577","","",""
"55903","1988","1","postseason","1988-12-24T00:00:00.000Z","","true","true","","","","","333","Alabama","SEC","fbs","29","","","1838","1833","349","Army","FBS Independents","fbs","28","","","1505","1510","","",""
"55904","1988","1","postseason","1988-12-25T00:00:00.000Z","","true","true","","","","","265","Washington State","Pac-10","fbs","24","","","1697","1712","248","Houston","Southwest","fbs","22","","","1986","1971","","",""
"55905","1988","1","postseason","1988-12-28T00:00:00.000Z","","true","true","","","","","84","Indiana","Big Ten","fbs","34","","","1740","1785","2579","South Carolina","FBS Independents","fbs","10","","","1534","1489","","",""
"55907","1988","1","postseason","1988-12-29T00:00:00.000Z","","true","true","","","","","57","Florida","SEC","fbs","14","","","1615","1616","356","Illinois","Big Ten","fbs","10","","","1478","1477","","",""
"55906","1988","1","postseason","1988-12-29T00:00:00.000Z","","true","true","","","","","252","BYU","Western Athletic","fbs","20","","","1660","1672","38","Colorado","Big 8","fbs","17","","","1789","1777","","",""
"55908","1988","1","postseason","1988-12-30T00:00:00.000Z","","true","true","","","","","197","Oklahoma State","Big 8","fbs","62","","","1854","2021","2751","Wyoming","Western Athletic","fbs","14","","","1912","1745","","",""
"55909","1988","1","postseason","1988-12-31T00:00:00.000Z","","true","true","","","","","152","NC State","ACC","fbs","28","","","1610","1627","2294","Iowa","Big Ten","fbs","23","","","1715","1698","","",""
"55910","1988","1","postseason","1989-01-01T00:00:00.000Z","","true","true","","","","","61","Georgia","SEC","fbs","34","","","1826","1843","127","Michigan State","Big Ten","fbs","27","","","1844","1827","","",""
"55917","1988","1","postseason","1989-01-02T00:00:00.000Z","","true","true","","","","","26","UCLA","Pac-10","fbs","17","","","1977","2003","8","Arkansas","Southwest","fbs","3","","","1874","1848","","",""
