"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"61708","1998","1","regular","1998-08-29T00:00:00.000Z","","true","false","","","","","127","Michigan State","Big Ten","fbs","16","","","1680","1675","36","Colorado State","Western Athletic","fbs","23","","","1785","1790","","",""
"61709","1998","1","regular","1998-08-29T00:00:00.000Z","","true","false","","","","","158","Nebraska","Big 12","fbs","56","","","2073","2087","2348","Louisiana Tech","FBS Independents","fbs","27","","","1499","1485","","",""
"61710","1998","1","regular","1998-08-30T00:00:00.000Z","","true","false","","","","","30","USC","Pac-10","fbs","27","","","1626","1647","2509","Purdue","Big Ten","fbs","17","","","1681","1660","","",""
"61711","1998","1","regular","1998-08-31T00:00:00.000Z","","true","false","","","","","52","Florida State","ACC","fbs","23","","","1957","1955","245","Texas A&M","Big 12","fbs","14","","","1707","1709","","",""
"62354","1998","1","postseason","1998-12-04T00:00:00.000Z","","true","true","true","","","","276","Marshall","Mid-American","fbs","23","","","1662","1662","2649","Toledo","Mid-American","fbs","17","","","1449","1449","","",""
"62358","1998","1","postseason","1998-12-05T00:00:00.000Z","","true","true","true","","","","2633","Tennessee","SEC","fbs","24","","","2017","2017","344","Mississippi State","SEC","fbs","14","","","1701","1701","","",""
"62355","1998","1","postseason","1998-12-05T00:00:00.000Z","","true","true","true","","","","2005","Air Force","Western Athletic","fbs","20","","","1885","1884","252","BYU","Western Athletic","fbs","13","","","1630","1631","","",""
"62359","1998","1","postseason","1998-12-05T00:00:00.000Z","","true","true","true","","","","245","Texas A&M","Big 12","fbs","36","","","1819","1844","2306","Kansas State","Big 12","fbs","33","","","2200","2175","","",""
"62360","1998","1","postseason","1998-12-19T00:00:00.000Z","","true","true","","","","","153","North Carolina","ACC","fbs","20","","","1662","1665","21","San Diego State","Western Athletic","fbs","13","","","1476","1473","","",""
"62361","1998","1","postseason","1998-12-23T00:00:00.000Z","","true","true","","","","","276","Marshall","Mid-American","fbs","48","","","1662","1701","97","Louisville","Conference USA","fbs","29","","","1542","1503","","",""
"62362","1998","1","postseason","1998-12-25T00:00:00.000Z","","true","true","","","","","2005","Air Force","Western Athletic","fbs","45","","","1884","1920","264","Washington","Pac-10","fbs","25","","","1706","1670","","",""
"62363","1998","1","postseason","1998-12-25T00:00:00.000Z","","true","true","","","","","38","Colorado","Big 12","fbs","51","","","1674","1707","2483","Oregon","Pac-10","fbs","43","","","1862","1829","","",""
"62364","1998","1","postseason","1998-12-26T00:00:00.000Z","","true","true","","","","","142","Missouri","Big 12","fbs","34","","","1759","1766","277","West Virginia","Big East","fbs","31","","","1788","1781","","",""
"62367","1998","1","postseason","1998-12-29T00:00:00.000Z","","true","true","","","","","259","Virginia Tech","Big East","fbs","38","","","1845","1908","333","Alabama","SEC","fbs","7","","","1605","1542","","",""
"62366","1998","1","postseason","1998-12-29T00:00:00.000Z","","true","true","","","","","2509","Purdue","Big Ten","fbs","37","","","1920","1939","2306","Kansas State","Big 12","fbs","34","","","2175","2156","","",""
"62365","1998","1","postseason","1998-12-29T00:00:00.000Z","","true","true","","","","","2390","Miami","Big East","fbs","46","","","1633","1697","152","NC State","ACC","fbs","23","","","1623","1559","","",""
"62369","1998","1","postseason","1998-12-30T00:00:00.000Z","","true","true","","","","","70","Idaho","Big West","fbs","42","","","1339","1396","2572","Southern Mississippi","Conference USA","fbs","35","","","1846","1789","","",""
"62368","1998","1","postseason","1998-12-30T00:00:00.000Z","","true","true","","","","","12","Arizona","Pac-10","fbs","23","","","1895","1911","158","Nebraska","Big 12","fbs","20","","","2101","2085","","",""
"62372","1998","1","postseason","1998-12-31T00:00:00.000Z","","true","true","","","","","2628","TCU","Western Athletic","fbs","28","","","1381","1443","30","USC","Pac-10","fbs","19","","","1834","1772","","",""
"62370","1998","1","postseason","1998-12-31T00:00:00.000Z","","true","true","","","","","61","Georgia","SEC","fbs","35","","","1732","1738","258","Virginia","ACC","fbs","33","","","1783","1777","","",""
"62373","1998","1","postseason","1998-12-31T00:00:00.000Z","","true","true","","","","","2655","Tulane","Conference USA","fbs","41","","","1844","1860","252","BYU","Western Athletic","fbs","27","","","1631","1615","","",""
"62371","1998","1","postseason","1998-12-31T00:00:00.000Z","","true","true","","","","","145","Ole Miss","SEC","fbs","35","","","1476","1543","2641","Texas Tech","Big 12","fbs","18","","","1675","1608","","",""
"62376","1998","1","postseason","1999-01-01T00:00:00.000Z","","true","true","","","","","194","Ohio State","Big Ten","fbs","24","","","2086","2091","245","Texas A&M","Big 12","fbs","14","","","1844","1839","","",""
"62374","1998","1","postseason","1999-01-01T00:00:00.000Z","","true","true","","","","","59","Georgia Tech","ACC","fbs","35","","","1732","1749","87","Notre Dame","FBS Independents","fbs","28","","","1755","1738","","",""
"62379","1998","1","postseason","1999-01-01T00:00:00.000Z","","true","true","","","","","26","UCLA","Pac-10","fbs","31","","","1938","1928","275","Wisconsin","Big Ten","fbs","38","","","1895","1905","","",""
"62378","1998","1","postseason","1999-01-01T00:00:00.000Z","","true","true","","","","","251","Texas","Big 12","fbs","38","","","1704","1782","344","Mississippi State","SEC","fbs","11","","","1701","1623","","",""
"62377","1998","1","postseason","1999-01-01T00:00:00.000Z","","true","true","","","","","213","Penn State","Big Ten","fbs","26","","","1803","1814","96","Kentucky","SEC","fbs","14","","","1579","1568","","",""
"62375","1998","1","postseason","1999-01-01T00:00:00.000Z","","true","true","","","","","130","Michigan","Big Ten","fbs","45","","","1875","1906","8","Arkansas","SEC","fbs","31","","","1823","1792","","",""
"62380","1998","1","postseason","1999-01-02T00:00:00.000Z","","true","true","","","","","57","Florida","SEC","fbs","31","","","1993","2052","183","Syracuse","Big East","fbs","10","","","2001","1942","","",""
"62381","1998","1","postseason","1999-01-04T00:00:00.000Z","","true","true","","","","","2633","Tennessee","SEC","fbs","23","","","2017","2041","52","Florida State","ACC","fbs","16","","","2134","2110","","",""
"61715","1998","2","regular","1998-09-03T00:00:00.000Z","","true","false","","","","","2","Auburn","SEC","fbs","0","","","1679","1628","258","Virginia","ACC","fbs","19","","","1647","1698","","",""
"61713","1998","2","regular","1998-09-03T00:00:00.000Z","","true","false","","","","","152","NC State","ACC","fbs","34","","","1529","1530","195","Ohio","Mid-American","fbs","31","","","1541","1540","","",""
"61714","1998","2","regular","1998-09-03T00:00:00.000Z","","true","false","","","","","2199","Eastern Michigan","Mid-American","fbs","10","","","","","2460","Northern Iowa","","","13","","","","","","",""
